"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Randy Johnson","Diamondbacks","19","7","0","35","35","248.2","12.56","2.75","0.83",".326","77.4%","","","2.64","2.53","","9.6","60"
"Pedro Martinez","Red Sox","18","6","0","29","29","217.0","11.78","1.33","0.71",".236","86.6%","","","1.74","2.17","","9.4","200"
"Greg Maddux","Braves","19","9","0","35","35","249.1","6.86","1.52","0.69",".274","74.3%","","","3.00","3.23","","7.2","104"
"Kevin Brown","Dodgers","13","6","0","33","33","230.0","8.45","1.84","0.82",".255","77.6%","","","2.58","3.17","","6.8","642"
"Mike Mussina","Orioles","11","15","0","34","34","237.2","7.95","1.74","1.06",".297","73.2%","","","3.79","3.52","","6.4","837"
"David Wells","Blue Jays","20","8","0","35","35","229.2","6.51","1.21","0.90",".327","69.7%","","","4.11","3.50","","6.2","855"
"Javier Vazquez","Expos","11","9","0","33","33","217.2","8.10","2.52","0.99",".338","74.8%","","","4.05","3.68","","5.2","801"
"Al Leiter","Mets","16","8","0","31","31","208.0","8.65","3.29","0.82",".276","75.7%","","","3.20","3.65","","4.8","883"
"Glendon Rusch","Mets","11","11","0","31","30","190.2","7.41","2.08","0.85",".308","70.2%","","","4.01","3.50","","4.7","707"
"Tom Glavine","Braves","21","9","0","35","35","241.0","5.68","2.43","0.90",".265","73.8%","","","3.40","4.03","","4.7","90"
"Curt Schilling","- - -","11","12","0","29","29","210.1","7.19","1.93","1.16",".285","75.4%","","","3.81","3.86","","4.6","73"
"Mike Hampton","Mets","15","10","0","33","33","217.2","6.24","4.09","0.41",".278","73.9%","","","3.14","3.82","","4.6","430"
"Livan Hernandez","Giants","17","11","0","33","33","240.0","6.19","2.74","0.82",".303","72.3%","","","3.75","3.91","","4.5","1116"
"Jon Lieber","Cubs","12","11","0","35","35","251.0","6.88","1.94","1.29",".281","69.6%","","","4.41","4.23","","4.4","287"
"Chuck Finley","Indians","16","11","0","34","34","218.0","7.80","4.17","0.95",".303","73.1%","","","4.17","4.19","","4.4","384"
"Kenny Rogers","Rangers","13","13","0","34","34","227.1","5.03","3.09","0.79",".311","69.2%","","","4.55","4.34","","4.3","1277"
"Aaron Sele","Mariners","17","10","0","34","34","211.2","5.83","3.15","0.72",".302","68.8%","","","4.51","4.00","","4.3","34"
"Darryl Kile","Cardinals","20","9","0","34","34","232.1","7.44","2.25","1.28",".274","73.8%","","","3.91","4.24","","4.3","1163"
"Bartolo Colon","Indians","15","8","0","30","30","188.0","10.15","4.69","1.01",".301","76.0%","","","3.88","3.96","","4.3","375"
"Dave Burba","Indians","16","6","0","32","32","191.1","8.47","4.28","0.89",".324","72.7%","","","4.47","4.00","","4.2","1239"
"Brad Radke","Twins","12","16","0","34","34","226.2","5.60","2.03","1.07",".310","70.9%","","","4.45","4.18","","4.2","748"
"Kevin Millwood","Braves","10","13","0","36","35","212.2","7.11","2.62","1.10",".290","67.5%","","","4.66","4.06","","4.0","106"
"Chan Ho Park","Dodgers","18","10","0","34","34","226.0","8.64","4.94","0.84",".258","77.6%","","","3.27","4.23","","3.9","1267"
"Andy Pettitte","Yankees","19","9","0","32","32","204.2","5.50","3.52","0.75",".298","68.8%","","","4.35","4.22","","3.9","840"
"Kris Benson","Pirates","10","12","0","32","32","217.2","7.61","3.56","0.99",".288","73.8%","","","3.85","4.20","","3.8","982"
"Roger Clemens","Yankees","13","8","0","32","32","204.1","8.28","3.70","1.15",".277","75.3%","","","3.70","4.33","","3.6","815"
"Mike Sirotka","White Sox","15","10","0","32","32","197.0","5.85","3.15","1.05",".295","71.4%","","","3.79","4.42","","3.6","1012015"
"Tim Hudson","Athletics","20","6","0","32","32","202.1","7.52","3.65","1.07",".257","70.4%","","","4.14","4.33","","3.5","921"
"Pedro Astacio","Rockies","12","9","0","32","32","196.1","8.85","3.53","1.47",".332","71.9%","","","5.27","4.69","","3.5","862"
"Robert Person","Phillies","9","7","0","28","28","173.1","8.52","4.93","0.67",".282","75.8%","","","3.63","3.96","","3.4","966"
"Rick Ankiel","Cardinals","11","7","0","31","30","175.0","9.98","4.63","1.08",".274","75.2%","","","3.50","4.12","","3.4","1142"
"Chuck Smith","Marlins","6","6","0","19","19","122.2","8.66","3.96","0.44",".316","72.1%","","","3.23","3.24","","3.4","1012114"
"Ryan Dempster","Marlins","14","10","0","33","33","226.1","8.31","3.86","1.19",".284","77.8%","","","3.66","4.36","","3.4","517"
"Chris Holt","Astros","8","16","0","34","32","207.0","5.91","3.26","0.96",".333","66.5%","","","5.35","4.40","","3.3","1005983"
